opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
14 ib,ADC,I,AL:mrw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,,,SSX; GPX; PF; AC
15 iw,ADC,I,AX:mrw; imm16:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,pref66:required/1,,SSX; GPX; PF; AC
15 id,ADC,I,EAX:mrw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,rex_w:optional/0,,SSX; GPX; PF; AC
15 id,ADC,I,RAX:mrw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,rex_w:required/1,,SSX; GPX; PF; AC
80 /2 ib,ADC,MI,r/m8:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
81 /2 iw,ADC,MI,r/m16:merw; imm16:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
81 /2 id,ADC,MI,r/m32:merw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
81 /2 id,ADC,MI,r/m64:merw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /2 ib,ADC,MI,r/m16:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /2 ib,ADC,MI,r/m32:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
83 /2 ib,ADC,MI,r/m64:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
10 /r,ADC,MR,r/m8:merw; r8:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
11 /r,ADC,MR,r/m16:merw; r16:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
11 /r,ADC,MR,r/m32:merw; r32:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
11 /r,ADC,MR,r/m64:merw; r64:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
12 /r,ADC,RM,r8:merw; r/m8:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
13 /r,ADC,RM,r16:merw; r/m16:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
13 /r,ADC,RM,r32:merw; r/m32:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
13 /r,ADC,RM,r64:merw; r/m64:mer; OF:w; SF:w; ZF:w; AF:w; CF:rw; PF:w,rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
66 0F 38 F6 /r,ADCX,RM,r32:merw; r/m32:mer; CF:rw,pref67:operand/1,ADX,
66 0F 38 F6 /r,ADCX,RM,r64:merw; r/m64:mer; CF:rw,rex_w:required/1; pref67:operand/1,ADX,
04 ib,ADD,I,AL:mrw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,,,SSX; GPX; PF; AC
05 iw,ADD,I,AX:mrw; imm16:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,pref66:required/1,,SSX; GPX; PF; AC
05 id,ADD,I,EAX:mrw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:optional/0,,SSX; GPX; PF; AC
05 id,ADD,I,RAX:mrw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:required/1,,SSX; GPX; PF; AC
80 /0 ib,ADD,MI,r/m8:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
81 /0 iw,ADD,MI,r/m16:merw; imm16:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
81 /0 id,ADD,MI,r/m32:merw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
81 /0 id,ADD,MI,r/m64:merw; imm32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /0 ib,ADD,MI,r/m16:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /0 ib,ADD,MI,r/m32:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
83 /0 ib,ADD,MI,r/m64:merw; imm8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:required/1; pref67:operand/1,,SSX; GPX; PF; AC
00 /r,ADD,MR,r/m8:merw; r8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
01 /r,ADD,MR,r/m16:merw; r16:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; pref66:required/1; pref67:operand/1,,SSX; GPX; PF; AC
